Agent Name,Category,Status,Created
summarize_agent,Summary,Inactive,2025-04-17T23:33:50.000Z
ai_dev_agent,AI Development,Inactive,2025-04-17T23:33:50.000Z
ai_infra_agent,AI Infrastructure,Inactive,2025-04-17T23:33:50.000Z
travel_agent,Travel,Inactive,2025-04-17T23:33:50.000Z
airtable_logger_agent,Logging,Inactive,2025-04-17T23:33:50.000Z
orchestrator_agent,Orchestration,Inactive,2025-04-17T23:33:50.000Z
ideas_agent,Ideation,Inactive,2025-04-17T23:33:50.000Z
unrouted_agent,Fallback,Inactive,2025-04-17T23:33:50.000Z
pm_director_agent,Project Management,Inactive,2025-04-17T23:33:50.000Z
pm_agent,Project Management,Inactive,2025-04-17T23:33:50.000Z
